destination,edge_count,source_pages,shared_component_or_model,route_status,recommended_fix,cleared_local
/netherlands/jobs/starting-consultancy-netherlands,14,"/netherlands/business/starting-a-business-netherlands, /netherlands/business/zzp-netherlands, /netherlands/jobs/contractor-vs-employee-netherlands, /netherlands/jobs/freelancing-netherlands",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,jobs/business serviceCategories + related LinkCards; MoveGuideAffiliateSupportBlock filter,YES
/netherlands/services/accountants,9,"/netherlands/business/starting-a-business-netherlands, /netherlands/business/zzp-netherlands, /netherlands/jobs/contractor-vs-employee-netherlands, /netherlands/jobs/freelancing-netherlands, /netherlands/services/financial-advisors",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,jobs/business serviceCategories + related LinkCards; MoveGuideAffiliateSupportBlock filter,YES
/netherlands/services/business-consultants,8,"/netherlands/business/starting-a-business-netherlands, /netherlands/business/zzp-netherlands, /netherlands/jobs/contractor-vs-employee-netherlands, /netherlands/jobs/freelancing-netherlands, /netherlands/services/financial-advisors",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,jobs/business serviceCategories + related LinkCards; MoveGuideAffiliateSupportBlock filter,YES
/netherlands/services/insurance-brokers,8,"/netherlands/health/health-insurance-comparison-netherlands, /netherlands/services/financial-advisors, /netherlands/services/health-insurance",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,jobs/business serviceCategories + related LinkCards; MoveGuideAffiliateSupportBlock filter,YES
/netherlands/services/recruitment-agencies,8,"/netherlands/jobs/employee-rights-netherlands, /netherlands/jobs/employment-contract-netherlands, /netherlands/jobs/notice-period-netherlands, /netherlands/jobs/probation-period-netherlands, /netherlands/services/immigration-lawyers",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,jobs/business serviceCategories + related LinkCards; MoveGuideAffiliateSupportBlock filter,YES
/netherlands/services/career-coaches,7,"/netherlands/jobs/employee-rights-netherlands, /netherlands/jobs/employment-contract-netherlands, /netherlands/jobs/notice-period-netherlands, /netherlands/jobs/probation-period-netherlands",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,jobs/business serviceCategories + related LinkCards; MoveGuideAffiliateSupportBlock filter,YES
/netherlands/living/bike-sharing-netherlands,6,"/netherlands/living/ns-trains-netherlands, /netherlands/living/ovpay-netherlands",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,Ovpay/NsTrains relatedGuides + exploreNext LinkCards,YES
/netherlands/services/insurance,5,"/netherlands/services/banks, /netherlands/services/health-insurance",filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/services/moving-companies,5,"/netherlands/services/housing-platforms, /netherlands/services/relocation-agencies, /netherlands/services/relocation-services, /netherlands/services/rental-agencies",filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/services/removal-companies,5,"/netherlands/services/housing-platforms, /netherlands/services/relocation-agencies, /netherlands/services/relocation-services, /netherlands/services/rental-agencies",filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/living/train-discounts-netherlands,4,"/netherlands/living/ns-trains-netherlands, /netherlands/living/ovpay-netherlands",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,Ovpay/NsTrains relatedGuides + exploreNext LinkCards,YES
/netherlands/living/weekend-travel-netherlands,4,"/netherlands/living/ns-trains-netherlands, /netherlands/living/ovpay-netherlands",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,Ovpay/NsTrains relatedGuides + exploreNext LinkCards,YES
/netherlands/living/trams-netherlands,4,"/netherlands/living/ns-trains-netherlands, /netherlands/living/ovpay-netherlands",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,Ovpay/NsTrains relatedGuides + exploreNext LinkCards,YES
/netherlands/services/immigration-visas,4,"/netherlands/services/immigration-lawyers, /netherlands/services/visa-consultants",filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/services/pet-relocation-companies,3,"/netherlands/bringing-pets-to-netherlands, /netherlands/family/pets-netherlands",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,page-model relatedGuides / service cards,YES
/netherlands/services/daycare-providers,3,/netherlands/education/daycare-netherlands,shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,page-model relatedGuides / service cards,YES
/netherlands/living/museums-netherlands,3,/netherlands/family/family-activities-netherlands,shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,page-model relatedGuides / service cards,YES
/netherlands/living/metro-netherlands,3,"/netherlands/living/ns-trains-netherlands, /netherlands/living/ovpay-netherlands",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,Ovpay/NsTrains relatedGuides + exploreNext LinkCards,YES
/netherlands/living/regional-buses-netherlands,3,/netherlands/living/ovpay-netherlands,shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,Ovpay/NsTrains relatedGuides + exploreNext LinkCards,YES
/netherlands/living/cycling-netherlands,3,/netherlands/living/ovpay-netherlands,shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,Ovpay/NsTrains relatedGuides + exploreNext LinkCards,YES
/netherlands/services/notaries,3,/netherlands/services/financial-advisors,filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/living/hiking-netherlands,2,/netherlands/life/making-dutch-friends,shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,page-model relatedGuides / service cards,YES
/netherlands/services/estate-agents,2,"/netherlands/services/financial-advisors, /netherlands/services/rental-agencies",filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/services/documents-legal,2,"/netherlands/services/immigration-lawyers, /netherlands/services/visa-consultants",filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/services/expat-tax-services,2,"/netherlands/taxes/leaving-netherlands-tax, /netherlands/taxes/taxes-after-moving-netherlands",shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,page-model relatedGuides / service cards,YES
/netherlands/services/compare-health-insurance,2,/netherlands/taxes/tools/healthcare-allowance-estimator,filterLiveInternalLinks_relatedCategories,coming-soon_or_hidden,services category pages relatedCategories,YES
/netherlands/services/international-schools,1,/netherlands/education/daycare-netherlands,shared_LinkCard_isGuideCardHrefLive,coming-soon_or_hidden,page-model relatedGuides / service cards,YES
