"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Depth"	"Internal outlinks to 4xx"	"Internal outlinks codes (4xx)"	"No. of internal outlinks to 4xx"	"External outlinks to 4xx"	"External outlinks codes (4xx)"	"No. of external outlinks to 4xx"
"69"	"https://www.expatcopilot.com/netherlands/living/getting-around"	"Getting Around in the Netherlands | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/living/bike-sharing-netherlands
https://www.expatcopilot.com/netherlands/living/cycling-netherlands
https://www.expatcopilot.com/netherlands/living/metro-netherlands
https://www.expatcopilot.com/netherlands/living/regional-buses-netherlands
https://www.expatcopilot.com/netherlands/living/train-discounts-netherlands
https://www.expatcopilot.com/netherlands/living/trams-netherlands
https://www.expatcopilot.com/netherlands/living/weekend-travel-netherlands"	"404
404
404
404
404
404
404"	"7"	""	""	"0"
"69"	"https://www.expatcopilot.com/netherlands/jobs/finding-jobs-netherlands"	"Finding Jobs in the Netherlands | Expat Job Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/jobs/cover-letter-netherlands
https://www.expatcopilot.com/netherlands/jobs/cv-netherlands
https://www.expatcopilot.com/netherlands/jobs/english-speaking-jobs-netherlands
https://www.expatcopilot.com/netherlands/jobs/interview-tips-netherlands
https://www.expatcopilot.com/netherlands/jobs/linkedin-netherlands
https://www.expatcopilot.com/netherlands/jobs/networking-netherlands
https://www.expatcopilot.com/netherlands/jobs/recruitment-agencies-netherlands
https://www.expatcopilot.com/netherlands/jobs/remote-work-netherlands"	"404
404
404
404
404
404
404
404"	"8"	""	""	"0"
"69"	"https://www.expatcopilot.com/netherlands/taxes"	"Netherlands Taxes Guide for Expats | Income Tax, 30% Ruling & Dutch Tax System | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/accountants"	"404"	"1"	""	""	"0"
"69"	"https://www.expatcopilot.com/netherlands/utilities/utilities-netherlands"	"Utilities in the Netherlands | Complete Expat Setup Guide | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/energy-providers
https://www.expatcopilot.com/netherlands/services/internet-providers
https://www.expatcopilot.com/netherlands/services/phone-providers"	"404
404
404"	"3"	""	""	"0"
"54"	"https://www.expatcopilot.com/netherlands/services/housing-platforms"	"Housing Platforms in the Netherlands for Expats: Compare Rental, Room & Temporary Housing Sites | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/moving-companies
https://www.expatcopilot.com/netherlands/services/removal-companies"	"404
404"	"2"	""	""	"0"
"54"	"https://www.expatcopilot.com/netherlands/services/immigration-lawyers"	"Immigration Lawyers in the Netherlands for Expats: Permits, Appeals, Family & More | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/documents-legal
https://www.expatcopilot.com/netherlands/services/immigration-visas
https://www.expatcopilot.com/netherlands/services/recruitment-agencies"	"404
404
404"	"3"	""	""	"0"
"53"	"https://www.expatcopilot.com/netherlands/services/visa-consultants"	"Visa Consultants in the Netherlands for Expats: MVV, Permits, Startup & Family Routes | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/documents-legal
https://www.expatcopilot.com/netherlands/services/immigration-visas"	"404
404"	"2"	""	""	"0"
"53"	"https://www.expatcopilot.com/netherlands/services/relocation-services"	"Relocation Services in the Netherlands for Expats: Compare Trusted Providers | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/moving-companies
https://www.expatcopilot.com/netherlands/services/removal-companies"	"404
404"	"2"	""	""	"0"
"52"	"https://www.expatcopilot.com/netherlands/services/banks"	"Banks for Expats in the Netherlands: Compare Accounts, Fees, Cards & Setup | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/banking-finance
https://www.expatcopilot.com/netherlands/services/insurance"	"404
404"	"2"	""	""	"0"
"52"	"https://www.expatcopilot.com/netherlands/services/health-insurance"	"Health Insurance for Expats in the Netherlands: Compare Providers, Costs & Rules | ExpatCopilot"	"text/html; charset=utf-8"	"false"	"200"	"0"	"0"	"https://www.expatcopilot.com/netherlands/services/insurance
https://www.expatcopilot.com/netherlands/services/insurance-brokers"	"404
404"	"2"	""	""	"0"
