path,country,final_status,grade,score,h1,has_country_in_h1,visa_section,docs_section,banking_section,timeline_section,unique_blocks,word_count,related_tools,eu_eea_flavor,robots,canonical
/netherlands/moving/tools/arrival-planner/from/argentina,argentina,200,STRONG_UNIQUE_VALUE,8,Arrival Planner for the Netherlands — from Argentina,True,True,True,True,True,111,2509,16,True,,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/argentina
/netherlands/moving/tools/arrival-planner/from/australia,australia,200,STRONG_UNIQUE_VALUE,8,Arrival Planner for the Netherlands — from Australia,True,True,True,True,True,112,2228,16,True,,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/australia
/netherlands/moving/tools/arrival-planner/from/brazil,brazil,200,STRONG_UNIQUE_VALUE,8,Arrival Planner for the Netherlands — from Brazil,True,True,True,True,True,128,2415,16,True,,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/brazil
/netherlands/moving/tools/arrival-planner/from/canada,canada,200,STRONG_UNIQUE_VALUE,8,Arrival Planner for the Netherlands — from Canada,True,True,True,True,True,110,2256,16,True,,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/canada
/netherlands/moving/tools/arrival-planner/from/chile,chile,200,STRONG_UNIQUE_VALUE,8,Arrival Planner for the Netherlands — from Chile,True,True,True,True,True,117,2429,16,True,,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/chile
/netherlands/moving/tools/arrival-planner/from/denmark,denmark,200,STRONG_UNIQUE_VALUE,8,Arrival Planner for the Netherlands — from Denmark,True,True,True,True,True,115,2288,16,True,,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/denmark
/netherlands/moving/tools/arrival-planner/from/france,france,200,STRONG_UNIQUE_VALUE,8,Arrival Planner for the Netherlands — from France,True,True,True,True,True,104,2251,16,True,,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/france
/netherlands/moving/tools/arrival-planner/from/germany,germany,200,STRONG_UNIQUE_VALUE,8,Arrival Planner for the Netherlands — from Germany,True,True,True,True,True,106,2203,16,True,,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/germany
/netherlands/moving/tools/arrival-planner/from/india,india,200,STRONG_UNIQUE_VALUE,8,Arrival Planner for the Netherlands — from India,True,True,True,True,True,118,2203,16,True,,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/india
/netherlands/moving/tools/arrival-planner/from/indonesia,indonesia,200,STRONG_UNIQUE_VALUE,8,Arrival Planner for the Netherlands — from Indonesia,True,True,True,True,True,125,2645,16,True,,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/indonesia
/netherlands/moving/tools/arrival-planner/from/ireland,ireland,200,STRONG_UNIQUE_VALUE,8,Arrival Planner for the Netherlands — from Ireland,True,True,True,True,True,115,2433,16,True,,https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/ireland
