url,path,href_inlinks,unique_linking_pages,contextual_inlinks,navigation_inlinks,outlinks,crawl_depth,parent_hub,cluster,orphan_status,is_country_tool
https://www.expatcopilot.com/about,/about,446,446,446,0,31,1,/,other,LINKED,NO
https://www.expatcopilot.com/affiliate-disclosure,/affiliate-disclosure,446,446,446,0,30,1,/,other,LINKED,NO
https://www.expatcopilot.com/contact,/contact,446,446,446,0,30,1,/,other,LINKED,NO
https://www.expatcopilot.com/cookies,/cookies,446,446,446,0,30,1,/,other,LINKED,NO
https://www.expatcopilot.com/disclaimer,/disclaimer,446,446,446,0,30,1,/,other,LINKED,NO
https://www.expatcopilot.com/editorial-policy,/editorial-policy,446,446,446,0,30,1,/,other,LINKED,NO
https://www.expatcopilot.com/how-this-site-works,/how-this-site-works,446,446,446,0,31,1,/,other,LINKED,NO
https://www.expatcopilot.com/how-we-rank-services,/how-we-rank-services,446,446,446,0,30,1,/,other,LINKED,NO
https://www.expatcopilot.com/methodology,/methodology,446,446,446,0,30,1,/,other,LINKED,NO
https://www.expatcopilot.com/netherlands,/netherlands,446,446,0,446,55,0,/,other,LINKED,NO
https://www.expatcopilot.com/netherlands/after-arriving-netherlands,/netherlands/after-arriving-netherlands,187,187,187,0,55,2,/netherlands/after-arriving-netherlands,other,LINKED,NO
https://www.expatcopilot.com/netherlands/amstelveen,/netherlands/amstelveen,44,44,44,0,74,2,/netherlands/amstelveen,other,LINKED,NO
https://www.expatcopilot.com/netherlands/amsterdam,/netherlands/amsterdam,94,94,94,0,77,2,/netherlands/amsterdam,other,LINKED,NO
https://www.expatcopilot.com/netherlands/apostille-documents-netherlands,/netherlands/apostille-documents-netherlands,53,53,53,0,40,2,/netherlands/apostille-documents-netherlands,other,LINKED,NO
https://www.expatcopilot.com/netherlands/arnhem,/netherlands/arnhem,25,25,25,0,73,2,/netherlands/arnhem,other,LINKED,NO
https://www.expatcopilot.com/netherlands/breda,/netherlands/breda,30,30,30,0,73,2,/netherlands/breda,other,LINKED,NO
https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands,/netherlands/bringing-pets-to-netherlands,20,20,20,0,41,2,/netherlands/bringing-pets-to-netherlands,other,LINKED,NO
https://www.expatcopilot.com/netherlands/bsn-registration,/netherlands/bsn-registration,113,113,113,0,44,1,/netherlands/bsn-registration,other,LINKED,NO
