family,url,form_factor,lab_only,perf_score,lcp_ms,lcp_display,tbt_ms,tbt_display,cls,cls_display,fcp_ms,si_ms,js_transfer_bytes,total_transfer_bytes,elapsed_s,error
nl_hub,https://www.expatcopilot.com/netherlands,mobile,YES,88,3481,3.5 s,174,170 ms,0,0,1231,2415,546659,655509,19.5,
cities_hub,https://www.expatcopilot.com/netherlands/cities,mobile,YES,88,3638,3.6 s,161,160 ms,0,0,1388,1795,547841,741236,17.8,
dating,https://www.expatcopilot.com/netherlands/life/dating-in-the-netherlands,mobile,YES,88,3339,3.3 s,204,200 ms,0,0,1389,2124,527064,763358,25.5,
best_banks,https://www.expatcopilot.com/netherlands/money/banking/best-banks-expats,mobile,YES,90,3482,3.5 s,112,110 ms,0,0,1382,1507,553766,762978,17.5,
salary_calculator,https://www.expatcopilot.com/netherlands/taxes/tools/dutch-salary-net-calculator,mobile,YES,90,3542,3.5 s,83,80 ms,0,0,1255,1612,571545,704987,16.9,
city_comparison,https://www.expatcopilot.com/netherlands/tools/city-comparison,mobile,YES,90,3485,3.5 s,130,130 ms,0,0,1235,1235,603710,756013,16.7,
moving_checklist_za,https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/south-africa,mobile,YES,95,2733,2.7 s,111,110 ms,0,0,1233,1233,546519,652102,15.2,
culture_communication,https://www.expatcopilot.com/netherlands/culture/communication-style,mobile,YES,92,3230,3.2 s,113,110 ms,0,0,1090,1090,543135,643889,16.0,
health_hub,https://www.expatcopilot.com/netherlands/health,mobile,YES,99,1792,1.8 s,118,120 ms,0,0,1340,1340,546005,652611,18.5,
education_hub,https://www.expatcopilot.com/netherlands/education,mobile,YES,91,3385,3.4 s,72,70 ms,0,0,1243,2419,546084,651307,17.9,
