url,page_type,cluster,intent,indexability,technical_health,content_quality,internal_link_strength,opportunity,recommended_action,priority,confidence,notes,post_status
METRIC:canonical-to-redirect,metric,,POST_AUDIT,n/a,445→0 code / still ~445 prod,,,,DEPLOY_THEN_REVALIDATE,P0,high,BASELINE→CODE vs PROD deploy gap,see_notes
METRIC:sitemap-redirects,metric,,POST_AUDIT,n/a,452→0 code / still 452 prod 3xx,,,,DEPLOY_THEN_REVALIDATE,P0,high,BASELINE→CODE vs PROD deploy gap,see_notes
METRIC:sitemap-404s,metric,,POST_AUDIT,n/a,8→8 NG/PH unchanged,,,,FIX_SITEMAP_OR_ENABLE,P0,high,BASELINE→CODE vs PROD deploy gap,see_notes
METRIC:indexable-orphans,metric,,POST_AUDIT,n/a,124→9 code-model,,,,DEPLOY_THEN_RECRAWL,P1,high,BASELINE→CODE vs PROD deploy gap,see_notes
METRIC:near-orphans,metric,,POST_AUDIT,n/a,3→6 code-model,,,,ACCEPT_OR_ENRICH,P2,high,BASELINE→CODE vs PROD deploy gap,see_notes
METRIC:internal-redirect-links,metric,,POST_AUDIT,n/a,~14 unchanged systematically,,,,CLEAN_ALIAS_HREFS,P2,high,BASELINE→CODE vs PROD deploy gap,see_notes
METRIC:missing-H1s,metric,,POST_AUDIT,n/a,19→0 code / prod sample still missing,,,,DEPLOY_THEN_RECRAWL,P1,high,BASELINE→CODE vs PROD deploy gap,see_notes
METRIC:duplicate-titles,metric,,POST_AUDIT,n/a,2 pairs remediated in code,,,,DEPLOY_THEN_VERIFY,P2,high,BASELINE→CODE vs PROD deploy gap,see_notes
METRIC:mobile-LCP,metric,,POST_AUDIT,n/a,Improved locally; prod unconfirmed,,,,DEPLOY_THEN_LH_CRUX,P1,high,BASELINE→CODE vs PROD deploy gap,see_notes
METRIC:nl-hub-TBT,metric,,POST_AUDIT,n/a,1447→139ms local,,,,DEPLOY_THEN_LH,P1,high,BASELINE→CODE vs PROD deploy gap,see_notes
METRIC:country-tool-quality,metric,,POST_AUDIT,n/a,47 STRONG / 65 ADEQUATE / 0 NEEDS,,,,MANUAL_REVIEW_EU_PEERS,P1,high,BASELINE→CODE vs PROD deploy gap,see_notes
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/nigeria,country_tool_landing,moving,INDEXABLE_DECLARED,accidentally_non_indexable_404,404+noindex; still in sitemap,n/a,orphan,hygiene,REMOVE_FROM_SITEMAP_OR_ENABLE,P0,high,TECH-P0 UNCHANGED,UNCHANGED
https://www.expatcopilot.com/netherlands/moving/tools/arrival-planner/from/philippines,country_tool_landing,moving,INDEXABLE_DECLARED,accidentally_non_indexable_404,404+noindex; still in sitemap,n/a,orphan,hygiene,REMOVE_FROM_SITEMAP_OR_ENABLE,P0,high,TECH-P0 UNCHANGED,UNCHANGED
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/nigeria,country_tool_landing,moving,INDEXABLE_DECLARED,accidentally_non_indexable_404,404+noindex; still in sitemap,n/a,orphan,hygiene,REMOVE_FROM_SITEMAP_OR_ENABLE,P0,high,TECH-P0 UNCHANGED,UNCHANGED
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness/from/philippines,country_tool_landing,moving,INDEXABLE_DECLARED,accidentally_non_indexable_404,404+noindex; still in sitemap,n/a,orphan,hygiene,REMOVE_FROM_SITEMAP_OR_ENABLE,P0,high,TECH-P0 UNCHANGED,UNCHANGED
https://www.expatcopilot.com/netherlands/moving/tools/first-90-days/from/nigeria,country_tool_landing,moving,INDEXABLE_DECLARED,accidentally_non_indexable_404,404+noindex; still in sitemap,n/a,orphan,hygiene,REMOVE_FROM_SITEMAP_OR_ENABLE,P0,high,TECH-P0 UNCHANGED,UNCHANGED
https://www.expatcopilot.com/netherlands/moving/tools/first-90-days/from/philippines,country_tool_landing,moving,INDEXABLE_DECLARED,accidentally_non_indexable_404,404+noindex; still in sitemap,n/a,orphan,hygiene,REMOVE_FROM_SITEMAP_OR_ENABLE,P0,high,TECH-P0 UNCHANGED,UNCHANGED
https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/nigeria,country_tool_landing,moving,INDEXABLE_DECLARED,accidentally_non_indexable_404,404+noindex; still in sitemap,n/a,orphan,hygiene,REMOVE_FROM_SITEMAP_OR_ENABLE,P0,high,TECH-P0 UNCHANGED,UNCHANGED
https://www.expatcopilot.com/netherlands/moving/tools/moving-checklist/from/philippines,country_tool_landing,moving,INDEXABLE_DECLARED,accidentally_non_indexable_404,404+noindex; still in sitemap,n/a,orphan,hygiene,REMOVE_FROM_SITEMAP_OR_ENABLE,P0,high,TECH-P0 UNCHANGED,UNCHANGED
https://www.expatcopilot.com/netherlands/health,hub,healthcare,INDEXABLE,code_live_prod_noindex_shell,prod soft shell; code hub ready,journey hub in code,children wired in code,cluster_architecture,DEPLOY_HUB,P1,high,IA-P2 code RESOLVED; prod UNCHANGED,IMPROVED_CODE_ONLY
https://www.expatcopilot.com/netherlands/education,hub,education,INDEXABLE,code_live_prod_noindex_shell,prod soft shell; code hub ready,journey hub in code,children wired in code,cluster_architecture,DEPLOY_HUB,P1,high,IA-P2 code RESOLVED; prod UNCHANGED,IMPROVED_CODE_ONLY
https://www.expatcopilot.com/netherlands/official-figures,authority_asset,authority,INDEXABLE,indexable,prod slash canonical pattern,citation packaging in code,adequate,authority,DEPLOY_AUTHORITY_PACKAGING,P1,medium,AUTH code IMPROVED; prod API/packaging not live,IMPROVED_CODE_ONLY
https://www.expatcopilot.com/netherlands/moving/tools/hsm-salary-checker,authority_asset,authority,INDEXABLE,indexable,prod slash canonical pattern,citation packaging in code,adequate,authority,DEPLOY_AUTHORITY_PACKAGING,P1,medium,AUTH code IMPROVED; prod API/packaging not live,IMPROVED_CODE_ONLY
https://www.expatcopilot.com/netherlands/taxes/tools/30-ruling-calculator,authority_asset,authority,INDEXABLE,indexable,prod slash canonical pattern,citation packaging in code,adequate,authority,DEPLOY_AUTHORITY_PACKAGING,P1,medium,AUTH code IMPROVED; prod API/packaging not live,IMPROVED_CODE_ONLY
https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator,authority_asset,authority,INDEXABLE,indexable,prod slash canonical pattern,citation packaging in code,adequate,authority,DEPLOY_AUTHORITY_PACKAGING,P1,medium,AUTH code IMPROVED; prod API/packaging not live,IMPROVED_CODE_ONLY
https://www.expatcopilot.com/netherlands/tools/city-comparison,authority_asset,authority,INDEXABLE,indexable,prod slash canonical pattern,citation packaging in code,adequate,authority,DEPLOY_AUTHORITY_PACKAGING,P1,medium,AUTH code IMPROVED; prod API/packaging not live,IMPROVED_CODE_ONLY
PATTERN:/netherlands/moving/tools/*/from/{country},country_tool_landing,moving,INDEXABLE,112 live,slash fix pending deploy,47 STRONG / 65 ADEQUATE,code mesh,programmatic_indexation,DEPLOY_THEN_MONITOR_GSC,P1,high,Quality+linking IMPROVED in code,IMPROVED
https://www.expatcopilot.com/netherlands/culture/communication-style,culture_scaffold,culture_life,INDEXABLE,indexable,H1 fix pending deploy,scaffold,near_orphan_model,low,VERIFY_AFTER_DEPLOY,P3,medium,H1+hub link in code,IMPROVED_CODE_ONLY
https://www.expatcopilot.com/netherlands/culture/sinterklaas,culture_scaffold,culture_life,INDEXABLE,indexable,H1 fix pending deploy,scaffold,near_orphan_model,low,VERIFY_AFTER_DEPLOY,P3,medium,H1+hub link in code,IMPROVED_CODE_ONLY
https://www.expatcopilot.com/netherlands/culture/what-feels-normal-in-dutch-daily-life,culture_scaffold,culture_life,INDEXABLE,indexable,H1 fix pending deploy,scaffold,near_orphan_model,low,VERIFY_AFTER_DEPLOY,P3,medium,H1+hub link in code,IMPROVED_CODE_ONLY
https://www.expatcopilot.com/netherlands/culture/hierarchy-and-flatness,culture_scaffold,culture_life,INDEXABLE,indexable,H1 fix pending deploy,scaffold,near_orphan_model,low,VERIFY_AFTER_DEPLOY,P3,medium,H1+hub link in code,IMPROVED_CODE_ONLY
https://www.expatcopilot.com/netherlands/culture/time-and-boundaries,culture_scaffold,culture_life,INDEXABLE,indexable,H1 fix pending deploy,scaffold,near_orphan_model,low,VERIFY_AFTER_DEPLOY,P3,medium,H1+hub link in code,IMPROVED_CODE_ONLY
