family,template_label,url,path,device,page_intent_class,lh_perf_score,lcp_ms,lcp_display,lcp_cwv_lab,cls,cls_cwv_lab,inp_field,tbt_ms,tbt_inp_proxy_risk,fcp_ms,tti_ms,speed_index_ms,ttfb_lh_ms,ttfb_curl_s,total_transfer_bytes,unused_js_bytes,third_party_entities,html_bytes_curl,word_count_approx,content_without_js,title_in_html,h1_in_html,meta_desc_in_html,img_count,img_lazy_count,table_count,answer_early,long_intro,intro_chars_before_h2,cookie_mention_html,affiliate_mention_html,abandonment_signals,evidence_file
banking_affiliate,Banking / affiliate,https://www.expatcopilot.com/netherlands/money/banking/best-banks-expats,/netherlands/money/banking/best-banks-expats,mobile,Affiliate/comparison,0.77,6504,6.5 s,poor,0,good,not_measured,74,low_risk,1404,7821,1404,22,0.105,2296455,300,2,83927,4901,True,True,True,True,31,29,3,True,False,460,True,True,performance_induced_risk,banking_affiliate.json
city_hub,City hub,https://www.expatcopilot.com/netherlands/amsterdam,/netherlands/amsterdam,mobile,Informational hub,0.77,5588,5.6 s,poor,0,good,not_measured,179,low_risk,1388,5588,1629,17,0.629,791740,300,2,67898,4974,True,True,True,True,34,32,1,True,False,316,True,True,performance_induced_risk,city_hub-mobile.json
comparison,City comparison,https://www.expatcopilot.com/netherlands/cities/amsterdam-vs-rotterdam,/netherlands/cities/amsterdam-vs-rotterdam,mobile,Comparison,0.82,3334,3.3 s,needs_improvement,0,good,not_measured,420,moderate_risk,1271,6962,1620,21,0.324,1436765,300,2,57581,4325,True,True,True,True,2,0,21,True,False,877,True,True,none_flagged,comparison-mobile.json
cornerstone_moving,Cornerstone guide,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands,/netherlands/moving-to-the-netherlands,mobile,Informational cornerstone,0.94,3035,3.0 s,needs_improvement,0,good,not_measured,85,low_risk,1235,5953,1235,17,0.106,891147,150,2,39890,1987,True,True,True,True,7,5,0,True,False,1216,True,True,none_flagged,cornerstone_moving-mobile.json
lifestyle_guide,Lifestyle guide,https://www.expatcopilot.com/netherlands/life/dating-in-the-netherlands,/netherlands/life/dating-in-the-netherlands,mobile,Informational lifestyle,0.74,6937,6.9 s,poor,0,good,not_measured,154,low_risk,1387,7643,1387,21,0.142,2359061,150,2,92901,6378,True,True,True,True,23,21,15,True,False,1028,True,True,performance_induced_risk,lifestyle_guide-mobile.json
nl_hub,Country hub,https://www.expatcopilot.com/netherlands,/netherlands,mobile,Informational hub,0.71,2723,2.7 s,needs_improvement,0,good,not_measured,1447,high_risk,1234,5214,1981,16,0.107,692354,300,2,15118,719,True,True,True,True,1,0,0,True,False,507,True,True,interaction_delay_risk|navigation_choice_overload_possible,nl_hub-mobile.json
nl_hub,Country hub,https://www.expatcopilot.com/netherlands,/netherlands,desktop,Informational hub,1,711,0.7 s,good,0,good,not_measured,,low_risk,351,711,351,15,0.107,692658,40,2,15118,719,True,True,True,True,1,0,0,True,False,507,True,True,navigation_choice_overload_possible,nl_hub_desktop.json
official_figures,Official figures,https://www.expatcopilot.com/netherlands/official-figures,/netherlands/official-figures,mobile,Reference utility,0.95,2730,2.7 s,needs_improvement,0,good,not_measured,149,low_risk,1230,5146,1230,17,0.093,700878,300,2,18034,1104,True,True,True,True,1,0,1,True,False,425,True,True,none_flagged,official_figures.json
origin_country,Origin-country guide,https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/south-africa,/netherlands/moving/moving-to-netherlands-from/south-africa,mobile,Informational guide,0.77,5390,5.4 s,poor,0.0002,good,not_measured,192,low_risk,1274,5390,1526,18,0.436,732505,630,2,36983,1852,True,True,True,True,2,1,1,True,False,278,True,True,performance_induced_risk,origin_country-mobile.json
search_utility,Site search,https://www.expatcopilot.com/search,/search,mobile,Utility,0.82,4559,4.6 s,poor,0,good,not_measured,146,low_risk,1094,4559,1094,16,0.411,751930,450,2,8758,237,True,True,False,True,1,0,0,False,False,0,True,True,performance_induced_risk,search_utility.json
