base_url,parameter_url,parameter_names,content_difference,canonical,indexable,internally_discoverable,search_value,classification,severity
https://www.expatcopilot.com/netherlands/visa-application-plan/,https://www.expatcopilot.com/netherlands/visa-application-plan?scenario=test,scenario,likely_client_side_state_same_shell,https://www.expatcopilot.com/netherlands/visa-application-plan/,canonicalized_to_base,yes_code_links_with_scenario,low,TOOL_SCENARIO_PARAM,P3
https://www.expatcopilot.com/netherlands/,https://www.expatcopilot.com/netherlands/?preview=true,preview,no_same_title,https://www.expatcopilot.com/netherlands/,canonicalized_to_base,yes,none,PREVIEW_PARAM,INFO
https://www.expatcopilot.com/netherlands/visa-application-plan/,https://www.expatcopilot.com/netherlands/visa-application-plan/?scenario=hsm,scenario,likely_client_side_state_same_shell,https://www.expatcopilot.com/netherlands/visa-application-plan/,canonicalized_to_base,yes_code_links_with_scenario,low,TOOL_SCENARIO_PARAM,P3
https://www.expatcopilot.com/search/,https://www.expatcopilot.com/search?q=visa,q,no_same_title,https://www.expatcopilot.com/search/,canonicalized_to_base,code_linked,none,SEARCH_QUERY,INFO
https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator?city=amsterdam,city,no_same_title,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/,canonicalized_to_base,code_linked,low,PARAMETER_STATE,INFO
https://www.expatcopilot.com/netherlands/amsterdam/,https://www.expatcopilot.com/netherlands/amsterdam?preview=true,preview,no_same_title,https://www.expatcopilot.com/netherlands/amsterdam/,canonicalized_to_base,code_linked,none,PREVIEW_PARAM,INFO
https://www.expatcopilot.com/search/,https://www.expatcopilot.com/search/?q=visa,q,no_same_title,https://www.expatcopilot.com/search/,canonicalized_to_base,code_linked,none,SEARCH_QUERY,INFO
https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/?utm_source=test&utm_medium=audit,"utm_source,utm_medium",no_same_title,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/,canonicalized_to_base,code_linked,none,TRACKING_PARAM,P3
https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands?from=uae,from,not_fetched,,unknown,yes_html_crawl,low,DISCOVERED_PARAM_LINK,P3
https://www.expatcopilot.com/netherlands/moving/tools/first-90-days/,https://www.expatcopilot.com/netherlands/moving/tools/first-90-days?from=spain,from,not_fetched,,unknown,yes_html_crawl,low,DISCOVERED_PARAM_LINK,P3
https://www.expatcopilot.com/netherlands/moving/tools/relocation-cost-estimator/,https://www.expatcopilot.com/netherlands/moving/tools/relocation-cost-estimator?from=south-korea,from,not_fetched,,unknown,yes_html_crawl,low,DISCOVERED_PARAM_LINK,P3
https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands?from=mexico,from,not_fetched,,unknown,yes_html_crawl,low,DISCOVERED_PARAM_LINK,P3
https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands?from=south-africa,from,not_fetched,,unknown,yes_html_crawl,low,DISCOVERED_PARAM_LINK,P3
