url,route_pattern,page_type,content_source,status,production_http_status,indexability_intent,robots_directive,canonical,canonical_http_status,in_sitemap,linked_from_navigation,internal_inlinks,internal_outlinks,published,publish_date,updated_date,staged,intent_source,notes
https://www.expatcopilot.com/,/,homepage,app/page.tsx,homepage_redirect_entry,307 → /netherlands | final=200,INDEXABLE,,https://www.expatcopilot.com/netherlands/,200,yes,yes,,,yes,,,no,prod_sitemap+prod_sitemap,Present in production /sitemap.xml as of audit fetch; Production observed HTTP 307 → /netherlands (verify trailing-slash / canonical behavior in later phase); Code redirectTarget=/netherlands; in sitemap as /; prod 307 to /netherlands; effective landing canonical is /netherlands/
https://www.expatcopilot.com/about/,/about,trust_legal,app_router:app/about/page.tsx,exists_in_codebase,200,INDEXABLE,,https://www.expatcopilot.com/about/,200,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/about/affiliate-disclosure/,/about/affiliate-disclosure,trust_legal,app_router:app/about/affiliate-disclosure/page.tsx,exists_in_codebase,,UNKNOWN,,,,no,no,,,,,,,,
https://www.expatcopilot.com/affiliate-disclosure/,/affiliate-disclosure,trust_legal,app_router:app/affiliate-disclosure/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/affiliate-disclosure/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/contact/,/contact,trust_legal,app_router:app/contact/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/contact/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/cookies/,/cookies,trust_legal,app_router:app/cookies/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/cookies/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/dev/phase2-components/,/dev/phase2-components,dev,app_router:app/dev/phase2-components/page.tsx,exists_in_codebase,200,INTENTIONALLY_NOINDEX,"noindex, nofollow",https://www.expatcopilot.com/netherlands/visa/partner-family-visa/,200,no,no,,,,,,yes,dev_route+robots,Dev surface; robots disallow /dev/
https://www.expatcopilot.com/disclaimer/,/disclaimer,trust_legal,app_router:app/disclaimer/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/disclaimer/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/editorial-policy/,/editorial-policy,trust_legal,app_router:app/editorial-policy/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/editorial-policy/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/how-this-site-works/,/how-this-site-works,trust_legal,app_router:app/how-this-site-works/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/how-this-site-works/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/how-we-rank-services/,/how-we-rank-services,trust_legal,app_router:app/how-we-rank-services/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/how-we-rank-services/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/methodology/,/methodology,trust_legal,app_router:app/methodology/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/methodology/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/moving-to-netherlands-from/,/moving-to-netherlands-from,redirect_alias,next.config.js redirects,permanent_redirect,,REDIRECT,,https://www.expatcopilot.com/netherlands/moving-to-netherlands-from/,,no,no,,,n/a,,,no,next_config_redirect+next_config_redirect,permanent redirect → /netherlands/moving-to-netherlands-from/; permanent redirect → /netherlands/moving-to-netherlands-from/
https://www.expatcopilot.com/netherlands/,/netherlands,country_hub,app_router:app/netherlands/page.tsx,exists_in_codebase,200,INDEXABLE,,https://www.expatcopilot.com/netherlands/,200,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/netherlands/after-arriving-netherlands/,/netherlands/moving/guides/[slug],moving_guide,moving/registry.json:after-arriving-netherlands,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/netherlands/after-arriving-netherlands/,,yes,no,,,conditional,,,no,prod_sitemap+moving_registry,Present in production /sitemap.xml as of audit fetch; moving guide publish=undefined; status=
https://www.expatcopilot.com/netherlands/amstelveen/,/netherlands/amstelveen,city_page,app_router:app/netherlands/amstelveen/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/netherlands/amstelveen/,,yes,no,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/netherlands/amsterdam/,/netherlands/amsterdam,city_page,app_router:app/netherlands/amsterdam/page.tsx,exists_in_codebase,200,INDEXABLE,,https://www.expatcopilot.com/netherlands/amsterdam/,200,yes,no,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/netherlands/apostille-documents-netherlands/,/netherlands/moving/guides/[slug],moving_guide,moving/registry.json:apostille-documents-netherlands,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/netherlands/apostille-documents-netherlands/,,yes,no,,,conditional,,,no,prod_sitemap+moving_registry,Present in production /sitemap.xml as of audit fetch; moving guide publish=undefined; status=
https://www.expatcopilot.com/netherlands/arnhem/,/netherlands/arnhem,city_page,app_router:app/netherlands/arnhem/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/netherlands/arnhem/,,yes,no,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/netherlands/average-rent-netherlands/,/netherlands/average-rent-netherlands,guide,,coming-soon,,STAGED_NOT_LAUNCHED,,,,no,no,,,no,,,yes,COMING_SOON_ROUTES,"COMING_SOON_ROUTES title=""Average rent Netherlands"" section=guides"
https://www.expatcopilot.com/netherlands/best-housing-websites-netherlands/,/netherlands/best-housing-websites-netherlands,guide,,coming-soon,,STAGED_NOT_LAUNCHED,,,,no,no,,,no,,,yes,COMING_SOON_ROUTES,"COMING_SOON_ROUTES title=""Best housing websites Netherlands"" section=guides"
https://www.expatcopilot.com/netherlands/best/,/netherlands/best,best_of_monetization,app_router:app/netherlands/best/page.tsx,exists_in_codebase,,UNKNOWN,,,,no,no,,,,,,,,
https://www.expatcopilot.com/netherlands/best/banks-for-expats/,/netherlands/best/[slug],redirect_alias,next.config.js redirects,permanent_redirect,,REDIRECT,,https://www.expatcopilot.com/netherlands/money/banking/best-banks-expats/,,no,no,,,n/a,,,no,next_config_redirect+next_config_redirect,permanent redirect → /netherlands/money/banking/best-banks-expats/; permanent redirect → /netherlands/money/banking/best-banks-expats/
https://www.expatcopilot.com/netherlands/breda/,/netherlands/breda,city_page,app_router:app/netherlands/breda/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/netherlands/breda/,,yes,no,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands/,/netherlands/moving/guides/[slug],moving_guide,moving/registry.json:bringing-pets-to-netherlands,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/netherlands/bringing-pets-to-netherlands/,,yes,no,,,conditional,,,no,prod_sitemap+moving_registry,Present in production /sitemap.xml as of audit fetch; moving guide publish=undefined; status=
https://www.expatcopilot.com/netherlands/bsn-registration/,/netherlands/moving/guides/[slug],moving_guide,moving/registry.json:bsn-registration,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/netherlands/bsn-registration/,,yes,no,,,conditional,,,no,prod_sitemap+moving_registry,Present in production /sitemap.xml as of audit fetch; moving guide publish=undefined; status=
https://www.expatcopilot.com/netherlands/business/starting-a-business-netherlands/,/netherlands/business/starting-a-business-netherlands,guide,app_router:app/netherlands/business/starting-a-business-netherlands/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/netherlands/business/starting-a-business-netherlands/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/netherlands/business/zzp-netherlands/,/netherlands/business/zzp-netherlands,guide,app_router:app/netherlands/business/zzp-netherlands/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/netherlands/business/zzp-netherlands/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/netherlands/buy-vs-rent-netherlands/,/netherlands/buy-vs-rent-netherlands,redirect_alias,next.config.js redirects,permanent_redirect,,REDIRECT,,https://www.expatcopilot.com/netherlands/housing/buy-vs-rent-netherlands/,,no,no,,,n/a,,,no,next_config_redirect+next_config_redirect,permanent redirect → /netherlands/housing/buy-vs-rent-netherlands/; permanent redirect → /netherlands/housing/buy-vs-rent-netherlands/
https://www.expatcopilot.com/netherlands/buying-house-netherlands/,/netherlands/buying-house-netherlands,redirect_alias,next.config.js redirects,permanent_redirect,,REDIRECT,,https://www.expatcopilot.com/netherlands/housing/buying-a-house-netherlands/,,no,no,,,n/a,,,no,next_config_redirect+next_config_redirect,permanent redirect → /netherlands/housing/buying-a-house-netherlands/; permanent redirect → /netherlands/housing/buying-a-house-netherlands/
https://www.expatcopilot.com/netherlands/can-i-open-bank-account-before-bsn/,/netherlands/can-i-open-bank-account-before-bsn,redirect_alias,next.config.js redirects,permanent_redirect,,REDIRECT,,https://www.expatcopilot.com/netherlands/open-bank-account-netherlands/,,no,no,,,n/a,,,no,next_config_redirect+next_config_redirect,permanent redirect → /netherlands/open-bank-account-netherlands/#bsn; permanent redirect → /netherlands/open-bank-account-netherlands/#bsn
https://www.expatcopilot.com/netherlands/cities/,/netherlands/cities,city_page,app_router:app/netherlands/cities/page.tsx,exists_in_codebase,200,INDEXABLE,"index, follow",https://www.expatcopilot.com/netherlands/cities/,200,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/netherlands/cities/amsterdam-vs-rotterdam/,/netherlands/cities/amsterdam-vs-rotterdam,city_page,app_router:app/netherlands/cities/amsterdam-vs-rotterdam/page.tsx,exists_in_codebase,200,INDEXABLE,"index, follow",https://www.expatcopilot.com/netherlands/cities/amsterdam-vs-rotterdam/,200,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/netherlands/cities/best-cities-for-expats/,/netherlands/cities/best-cities-for-expats,city_page,app_router:app/netherlands/cities/best-cities-for-expats/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/netherlands/cities/best-cities-for-expats/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/netherlands/cities/best-cities-for-families/,/netherlands/cities/best-cities-for-families,city_page,app_router:app/netherlands/cities/best-cities-for-families/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/netherlands/cities/best-cities-for-families/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
https://www.expatcopilot.com/netherlands/cities/best-cities-for-international-professionals/,/netherlands/cities/best-cities-for-international-professionals,city_page,app_router:app/netherlands/cities/best-cities-for-international-professionals/page.tsx,exists_in_codebase,,INDEXABLE,,https://www.expatcopilot.com/netherlands/cities/best-cities-for-international-professionals/,,yes,yes,,,yes,,,no,prod_sitemap,Present in production /sitemap.xml as of audit fetch
