url,path,ymyl_domain,risk,external_gov_domains,gov_domain_count,official_source_copy_present,verify_official_language,not_advice_disclaimer,affiliate_disclosure_signals,named_author_byline,freshness_notes,broken_references_checked,unsupported_claims_review,issues,severity,notes
https://www.expatcopilot.com/,/,trust_or_hub,LOW,,0,no,yes,yes,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Trust/hub page; not primary advice content
https://www.expatcopilot.com/about/,/about/,trust_or_hub,LOW,,0,no,yes,yes,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Trust/hub page; not primary advice content
https://www.expatcopilot.com/affiliate-disclosure/,/affiliate-disclosure/,other,LOW,,0,no,yes,no,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Not clearly YMYL-primary
https://www.expatcopilot.com/contact/,/contact/,trust_or_hub,LOW,,0,no,no,yes,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Trust/hub page; not primary advice content
https://www.expatcopilot.com/disclaimer/,/disclaimer/,trust_or_hub,LOW,,0,no,yes,yes,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Trust/hub page; not primary advice content
https://www.expatcopilot.com/editorial-policy/,/editorial-policy/,trust_or_hub,LOW,,0,no,yes,yes,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Trust/hub page; not primary advice content
https://www.expatcopilot.com/how-we-rank-services/,/how-we-rank-services/,other,LOW,,0,no,yes,no,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Not clearly YMYL-primary
https://www.expatcopilot.com/methodology/,/methodology/,trust_or_hub,LOW,,0,yes,yes,no,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Trust/hub page; not primary advice content
https://www.expatcopilot.com/netherlands/,/netherlands/,trust_or_hub,LOW,,0,no,yes,yes,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Trust/hub page; not primary advice content
https://www.expatcopilot.com/netherlands/cities/amsterdam/,/netherlands/cities/amsterdam/,cities_lifestyle,MEDIUM,,0,no,no,no,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,no_gov_hostname_links_detected,P2,City hubs include housing/cost/admin orientation
https://www.expatcopilot.com/netherlands/citizenship/permanent-residence/,/netherlands/citizenship/permanent-residence/,immigration_status,HIGH,"ind.nl,www.government.nl",2,yes,yes,yes,yes,no,depends_on_page_model_publishDate_and_official_source_pages,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,affiliate_present_on_ymyl_page,P2,Citizenship / PR — long-term status
https://www.expatcopilot.com/netherlands/health/health-insurance-comparison-netherlands/,/netherlands/health/health-insurance-comparison-netherlands/,insurance,HIGH,"www.government.nl,www.rijksoverheid.nl",2,yes,yes,no,yes,no,depends_on_page_model_publishDate_and_official_source_pages,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,weak_or_missing_not_advice_disclaimer_in_extract|affiliate_present_on_ymyl_page|medical_schema_without_clear_not_advice_phrase_in_extract,P2,Mandatory health insurance choices
https://www.expatcopilot.com/netherlands/health/hospitals-netherlands/,/netherlands/health/hospitals-netherlands/,healthcare,HIGH,"www.government.nl,www.rijksoverheid.nl",2,yes,yes,yes,yes,no,depends_on_page_model_publishDate_and_official_source_pages,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,affiliate_present_on_ymyl_page,P2,Medical orientation that could affect care decisions
https://www.expatcopilot.com/netherlands/housing/rental-contracts-and-deposits-netherlands/,/netherlands/housing/rental-contracts-and-deposits-netherlands/,housing_legal,HIGH,www.government.nl,1,yes,yes,yes,yes,no,depends_on_page_model_publishDate_and_official_source_pages,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,affiliate_present_on_ymyl_page,P2,Rental contracts / deposits / legal housing obligations
https://www.expatcopilot.com/netherlands/jobs/employment-contract-netherlands/,/netherlands/jobs/employment-contract-netherlands/,employment_law,HIGH,"ind.nl,www.government.nl,www.uwv.nl",3,yes,yes,yes,yes,no,depends_on_page_model_publishDate_and_official_source_pages,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,affiliate_present_on_ymyl_page,P2,Employment rights / contracts / permits
https://www.expatcopilot.com/netherlands/life/dating-in-the-netherlands/,/netherlands/life/dating-in-the-netherlands/,lifestyle_culture,LOW,,0,no,yes,no,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Lifestyle/culture — limited material harm if wrong
https://www.expatcopilot.com/netherlands/living/survival-guide/,/netherlands/living/survival-guide/,lifestyle_culture,LOW,"www.government.nl,www.rijksoverheid.nl",2,yes,no,no,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Lifestyle/culture — limited material harm if wrong
https://www.expatcopilot.com/netherlands/money/banking/best-banks-expats/,/netherlands/money/banking/best-banks-expats/,finance,MEDIUM,,0,no,yes,yes,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,no_gov_hostname_links_detected,P2,Financial planning / banking — material money impact
https://www.expatcopilot.com/netherlands/money/how-taxes-work-in-the-netherlands/,/netherlands/money/how-taxes-work-in-the-netherlands/,tax,HIGH,"www.belastingdienst.nl,www.government.nl",2,yes,yes,yes,yes,no,depends_on_page_model_publishDate_and_official_source_pages,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,affiliate_present_on_ymyl_page,P2,"Tax treatment, rulings, allowances, payroll tax"
https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/,/netherlands/money/tools/cost-of-living-calculator/,finance,MEDIUM,www.government.nl,1,yes,no,yes,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Financial planning / banking — material money impact
https://www.expatcopilot.com/netherlands/moving/working-in-the-netherlands/,/netherlands/moving/working-in-the-netherlands/,employment,MEDIUM,"ind.nl,www.belastingdienst.nl,www.government.nl",3,yes,no,yes,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Work/career guidance — moderate YMYL
https://www.expatcopilot.com/netherlands/official-figures/,/netherlands/official-figures/,official_figures,HIGH,"ind.nl,www.belastingdienst.nl,www.government.nl,www.rijksoverheid.nl",4,yes,yes,yes,yes,no,AS_OF_Aug_2026_LAST_REVIEWED_30_Aug_2026_code,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,affiliate_present_on_ymyl_page,P2,"Cited rates/thresholds — high misuse risk if wrong, but clearly labeled orientation"
https://www.expatcopilot.com/netherlands/taxes/30-percent-ruling/,/netherlands/taxes/30-percent-ruling/,tax,HIGH,"www.belastingdienst.nl,www.government.nl",2,yes,yes,yes,yes,no,depends_on_page_model_publishDate_and_official_source_pages,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,affiliate_present_on_ymyl_page,P2,"Tax treatment, rulings, allowances, payroll tax"
https://www.expatcopilot.com/netherlands/taxes/tools/dutch-salary-net-calculator/,/netherlands/taxes/tools/dutch-salary-net-calculator/,tax,HIGH,"www.belastingdienst.nl,www.government.nl",2,yes,yes,yes,yes,no,depends_on_page_model_publishDate_and_official_source_pages,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,affiliate_present_on_ymyl_page,P2,"Tax treatment, rulings, allowances, payroll tax"
https://www.expatcopilot.com/netherlands/visa-checker/,/netherlands/visa-checker/,immigration,HIGH,"ind.nl,www.government.nl",2,yes,no,yes,yes,no,depends_on_page_model_publishDate_and_official_source_pages,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,affiliate_present_on_ymyl_page,P2,Visa/immigration status decisions
https://www.expatcopilot.com/netherlands/visa/highly-skilled-migrant/,/netherlands/visa/highly-skilled-migrant/,immigration,HIGH,"ind.nl,www.government.nl",2,yes,yes,yes,yes,no,depends_on_page_model_publishDate_and_official_source_pages,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,affiliate_present_on_ymyl_page,P2,Visa/immigration status decisions
https://www.expatcopilot.com/sources/,/sources/,trust_or_hub,LOW,"ind.nl,www.digid.nl,www.government.nl,www.rvo.nl",4,yes,yes,no,yes,no,,not_link_crawled_this_phase,spot_check_only_not_full_fact_audit,ok,INFO,Trust/hub page; not primary advice content
https://www.expatcopilot.com/sources/,/sources/,trust_sources_hub,LOW,see_page,,yes,yes,sitewide_via_disclaimer,n/a,no,sources_hub_categories_IND_Government_nl_DigiD_RVO_etc,not_link_crawled_this_phase,hub_exists_strengthens_trust,ok,INFO,Central sources page; per-guide officialSources arrays in page models
(portfolio),(all_HIGH_ymyl),portfolio,HIGH,varies,,pattern_officialSources_in_many_page_models,common_on_tax_visa_health,sitewide_disclaimer_plus_many_page_models,monetization_components_on_many_guides,no_sitewide,official_figures_2026_strong; legal_pages_March_2025_older; some_Article_dateModified_request_time,not_exhaustive,rates_thresholds_centralized_in_official_figures_HSM_30pct_modules,no_named_experts|empty_SITE_SAME_AS|uneven_per_page_citation_depth,P2,110 HIGH YMYL indexable URLs in sitemap
